# m_LQ [GeV] 	σ (NLO) [pb] 	δ_stat 	δ_scaleUp (%) 	δ_scaleDown (%) 	δ_PDFUp (%) 	δ_PDFDown (%)
1270 	8.506e-04 	4.6e-06 	12.1 	14.1 	10.5 	10.5
1280 	8.009e-04 	5.1e-06 	12.1 	14.1 	10.6 	10.6
1290 	7.435e-04 	3.9e-06 	12.3 	14.2 	10.7 	10.7
1300 	6.991e-04 	3.7e-06 	12.0 	14.1 	10.8 	10.8
1310 	6.530e-04 	3.4e-06 	12.0 	14.1 	10.9 	10.9
1320 	6.067e-04 	3.2e-06 	12.0 	14.1 	10.9 	10.9
1330 	5.752e-04 	3.3e-06 	12.5 	14.3 	11.1 	11.1
1340 	5.332e-04 	2.8e-06 	12.0 	14.1 	11.2 	11.2
1350 	5.026e-04 	2.7e-06 	12.4 	14.3 	11.2 	11.2
1360 	4.760e-04 	2.5e-06 	12.2 	14.2 	11.4 	11.4
1370 	4.421e-04 	2.3e-06 	12.2 	14.2 	11.4 	11.4
1380 	4.177e-04 	2.3e-06 	12.2 	14.2 	11.5 	11.5
1390 	3.908e-04 	2.1e-06 	12.2 	14.2 	11.7 	11.7
1400 	3.675e-04 	2.0e-06 	12.4 	14.4 	11.8 	11.8
1410 	3.431e-04 	1.8e-06 	12.5 	14.4 	11.8 	11.8
1420 	3.208e-04 	1.7e-06 	12.4 	14.4 	11.9 	11.9
1430 	3.052e-04 	1.6e-06 	12.3 	14.3 	12.1 	12.1
1440 	2.839e-04 	1.5e-06 	12.4 	14.4 	12.1 	12.1
1450 	2.704e-04 	1.8e-06 	12.9 	14.6 	12.2 	12.2
1460 	2.520e-04 	1.3e-06 	12.3 	14.4 	12.4 	12.4
1470 	2.377e-04 	1.2e-06 	12.3 	14.4 	12.4 	12.4
1480 	2.243e-04 	1.2e-06 	12.7 	14.5 	12.6 	12.6
1490 	2.093e-04 	1.1e-06 	12.6 	14.5 	12.7 	12.7
1500 	1.964e-04 	1.0e-06 	12.6 	14.5 	12.7 	12.7
1510 	1.857e-04 	9.5e-07 	12.4 	14.5 	12.9 	12.9
1520 	1.737e-04 	9.2e-07 	12.6 	14.5 	13.0 	13.0
1530 	1.658e-04 	1.2e-06 	12.8 	14.6 	13.1 	13.1
1540 	1.527e-04 	7.8e-07 	12.6 	14.6 	13.2 	13.2
1550 	1.449e-04 	7.6e-07 	12.6 	14.6 	13.3 	13.3
1560 	1.368e-04 	8.3e-07 	12.9 	14.7 	13.4 	13.4
1570 	1.273e-04 	6.7e-07 	12.7 	14.7 	13.5 	13.5
1580 	1.211e-04 	6.1e-07 	12.8 	14.7 	13.6 	13.6
1590 	1.141e-04 	6.0e-07 	12.7 	14.7 	13.8 	13.8
1600 	1.065e-04 	5.5e-07 	12.5 	14.6 	13.8 	13.8
1610 	1.011e-04 	5.5e-07 	12.7 	14.7 	14.0 	14.0
1620 	9.495e-05 	5.0e-07 	12.8 	14.7 	14.0 	14.0
1630 	8.928e-05 	5.3e-07 	12.9 	14.8 	14.3 	14.3
1640 	8.374e-05 	4.3e-07 	12.6 	14.7 	14.3 	14.3
1650 	7.930e-05 	4.1e-07 	13.0 	14.9 	14.4 	14.4
1660 	7.478e-05 	4.0e-07 	12.7 	14.8 	14.5 	14.5
1670 	7.063e-05 	3.9e-07 	13.2 	15.0 	14.7 	14.7
1680 	6.654e-05 	3.5e-07 	12.8 	14.8 	14.7 	14.7
1690 	6.266e-05 	3.3e-07 	13.1 	14.9 	14.9 	14.9
1700 	5.903e-05 	3.1e-07 	13.3 	15.1 	15.1 	15.1
