### ZJet_amcatnlo_Inc
 #id                        variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
  94                       M_e1e2_LQ1700        360.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  95                     min_M_ej_LQ1700        805.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  96                      sT_eejj_LQ1800       1585.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  97                       M_e1e2_LQ1800        360.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  98                     min_M_ej_LQ1800        805.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
  99                      sT_eejj_LQ1900       1585.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
 100                       M_e1e2_LQ1900        360.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
 101                     min_M_ej_LQ1900        805.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
 102                      sT_eejj_LQ2000       1585.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
 103                       M_e1e2_LQ2000        360.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
 104                     min_M_ej_LQ2000        805.0000            +inf               -               -        0.0000e+00        0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00


### ZJet_amcatnlo_pt0to50
 #id                        variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
   0                              NoCuts               -               -               -               -      4408904.5562        0.0000e+00          1.0000      0.0000e+00          1.0000      0.0000e+00
   1                            PassJSON               -               -               -               -      4408904.5562          314.7550          1.0000     -1.0000e+00          1.0000     -1.0000e+00
   2                          nEle_ptCut               -               -               -               -       162114.4235           60.3557      3.6770e-02      1.3444e-05      3.6770e-02      1.3185e-05
   3                             Ele1_Pt               -               -               -               -       162114.4235           60.3557          1.0000      0.0000e+00      3.6770e-02      1.3185e-05
   4                         PassTrigger               -               -               -               -       158243.5045           59.6307          0.9761      5.6875e-05      3.5892e-02      1.3039e-05
   5                         Reweighting          0.0000          1.0000               -               -   1707426238.9604      1322358.5726      10789.8662     -1.0000e+00        387.2677     -1.0000e+00
   6                         PassLHECuts          0.0000          1.0000               -               -   1707426238.9604      1322358.5726          1.0000      0.0000e+00        387.2677     -1.0000e+00
   7                            PassJSON          0.0000          1.0000               -               -   1707426238.9604      1322358.5726          1.0000      0.0000e+00        387.2677     -1.0000e+00
   8                             PassHLT          0.0000          1.0000               -               -   1707426238.9604      1322358.5726          1.0000      0.0000e+00        387.2677     -1.0000e+00
   9  PassGlobalSuperTightHalo2016Filter          0.0000          1.0000               -               -   1707414437.1700      1322354.0315          1.0000      2.0310e-06        387.2650     -1.0000e+00
  10                    PassGoodVertices          0.0000          1.0000               -               -   1707413998.1998      1322353.9586          1.0000      2.5726e-07        387.2649     -1.0000e+00
  11                 PassHBHENoiseFilter          0.0000          1.0000               -               -   1707390271.5602      1322345.4408          1.0000      2.7816e-06        387.2595     -1.0000e+00
  12              PassHBHENoiseIsoFilter          0.0000          1.0000               -               -   1707295365.0906      1322300.6626          0.9999      6.3775e-06        387.2380     -1.0000e+00
  13         PassBadEESupercrystalFilter          0.0000          1.0000               -               -   1707295365.0906      1322300.6626          1.0000      0.0000e+00        387.2380     -1.0000e+00
  14            PassEcalDeadCellTrigPrim          0.0000          1.0000               -               -   1707292336.0318      1322299.9085          1.0000      8.2769e-07        387.2373     -1.0000e+00
  15                 PassBadPFMuonFilter          0.0000          1.0000               -               -   1707253949.6222      1322284.6155          1.0000      3.7273e-06        387.2286     -1.0000e+00
  16              PassEcalBadCalibFilter          0.0000          1.0000               -               -   1707250520.2574      1322282.7577          1.0000      1.2991e-06        387.2278     -1.0000e+00
  17                            PassNEle          0.0000          1.0000               -               -   1707250520.2574      1322282.7577          1.0000      0.0000e+00        387.2278     -1.0000e+00
  18                           PassNMuon          0.0000          1.0000               -               -   1707047933.8198      1322189.5672          0.9999      9.2004e-06        387.1819     -1.0000e+00
  19                     nEle_hltMatched            -inf            +inf               -               -   1707047933.8198      1322189.5672          1.0000      0.0000e+00        387.1819     -1.0000e+00
  20                     nJet_hltMatched            -inf            +inf               -               -   1707047933.8198      1322189.5672          1.0000      0.0000e+00        387.1819     -1.0000e+00
  21                             Ele1_Pt         50.0000            +inf               -               -    950563967.3050       971718.8592          0.5568      3.8649e-04        215.6009     -1.0000e+00
  22                            Ele1_Eta            -inf            +inf               -               -    950563967.3050       971718.8592          1.0000      0.0000e+00        215.6009     -1.0000e+00
  23                            Ele1_Phi            -inf            +inf               -               -    950563967.3050       971718.8592          1.0000      0.0000e+00        215.6009     -1.0000e+00
  24                             Ele2_Pt         50.0000            +inf               -               -     56439262.4423       263645.1010      5.9375e-02      2.6752e-04         12.8012     -1.0000e+00
  25                            Ele2_Eta            -inf            +inf               -               -     56439262.4423       263645.1010          1.0000      0.0000e+00         12.8012     -1.0000e+00
  26                            Ele2_Phi            -inf            +inf               -               -     56439262.4423       263645.1010          1.0000      0.0000e+00         12.8012     -1.0000e+00
  27                                nJet            -inf            +inf               -               -     56439262.4423       263645.1010          1.0000      0.0000e+00         12.8012     -1.0000e+00
  28                             Jet1_Pt         50.0000            +inf               -               -      8862947.7540       109236.5886          0.1570      1.7640e-03          2.0102     -1.0000e+00
  29                            Jet1_Eta         -2.4000          2.4000               -               -      8862947.7540       109236.5886          1.0000      0.0000e+00          2.0102     -1.0000e+00
  30                            Jet1_Phi            -inf            +inf               -               -      8862947.7540       109236.5886          1.0000      0.0000e+00          2.0102     -1.0000e+00
  31                             Jet2_Pt         50.0000            +inf               -               -      1833913.1213        49060.2581          0.2069      4.9493e-03          0.4160      4.5650e-03
  32                            Jet2_Eta            -inf         -1.3000               -               -       329892.1375        20999.0423          0.1799      1.0356e-02      7.4824e-02      4.3949e-03
  33                            Jet2_Phi            -inf         -1.5708         -0.8727            +inf       295451.4684        19785.2113          0.8956      2.0114e-02      6.7012e-02      4.1787e-03
  34                             Jet3_Pt            -inf            +inf               -               -       295451.4684        19785.2113          1.0000      0.0000e+00      6.7012e-02      4.1787e-03
  35                            Jet3_Eta         -2.4000          2.4000               -               -       295451.4684        19785.2113          1.0000      0.0000e+00      6.7012e-02      4.1787e-03
  36                            Jet3_Phi            -inf            +inf               -               -       295451.4684        19785.2113          1.0000      0.0000e+00      6.7012e-02      4.1787e-03
  37                         DR_Ele1Jet1            -inf            +inf               -               -       295451.4684        19785.2113          1.0000      0.0000e+00      6.7012e-02      4.1787e-03
  38                         DR_Ele1Jet2            -inf            +inf               -               -       295451.4684        19785.2113          1.0000      0.0000e+00      6.7012e-02      4.1787e-03
  39                         DR_Ele2Jet1            -inf            +inf               -               -       295451.4684        19785.2113          1.0000      0.0000e+00      6.7012e-02      4.1787e-03
  40                         DR_Ele2Jet2            -inf            +inf               -               -       295451.4684        19785.2113          1.0000      0.0000e+00      6.7012e-02      4.1787e-03
  41                         DR_Jet1Jet2            -inf            +inf               -               -       295451.4684        19785.2113          1.0000      0.0000e+00      6.7012e-02      4.1787e-03
